,"Brands","Brand_C","Brand_D","Brand_E","Brand_F","Brand_G","Brand_H",,,,,,,,,,,,,,,,,,,
"state factor",0.25,,,,,,,,,,,,,,,,,,,,,,,,,
,"Price-Purchase"," $25.00 "," $12.00 "," $15.00 "," $17.00 "," $20.00 "," $25.00 ",,,,,,,,,,,,,,,,,,,
"Budget"," $30.00 ",,,,,,,,,,,,,,,,,,,,,,,,,
"r=",0.1,,,,,,,,,,,,,,,,,,,,,,,,,
"R=",1.1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Like-Purchase",1,2,2,3,3,4,,,,,,,,,,,,,,,,,,,
"l=",1.5,,,,,,,,,,,,,,,,,,,,,,,,,
"L=",2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Prob: Price-Like-Purchase=1 ->",0.638518671696248,0.826494271004433,0.82127357634115,0.854696928073978,0.844473248665901,0.80418996379849,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Like-Fash -->",0,1,1,3,2,4,,,"Trust-Like",0.6,0.7,0.5,0.7,0.9,0.9,,,"Fit-Like",0.6,0.4,0.8,0.8,0.7,0.9,
"S_Like=",0,0.344795074516451,0.215782322015465,0.215782322015465,0.0879338343335388,0.130963290676612,0.0565247311127883,,,0,0.152121374534379,0.13753498161643,0.168415939404852,0.13753498161643,0.114865929122657,0.114865929122657,,,0,0.14944106150146,0.184123930379594,0.125516589164692,0.125516589164692,0.136043288917856,0.117585370353174,
,1,0.268526674032575,0.277069985939756,0.277069985939756,0.158938283628508,0.206856194912598,0.11393637237484,,,1,0.196836597062178,0.182668153549569,0.211661889350045,0.182668153549569,0.159737817271845,0.159737817271845,,,1,0.193430015381578,0.231827146128637,0.165587974820455,0.165587974820455,0.177895963595935,0.156343465096114,
,2,0.170007656191351,0.215782322015465,0.215782322015465,0.251042627345984,0.265608611867089,0.205937243671504,,,2,0.234584049524948,0.225901168471947,0.239844342490206,0.225901168471947,0.209473736757927,0.209473736757927,,,2,0.241177846608731,0.241177846608731,0.21309093693549,0.21309093693549,0.225838952068985,0.203441169380047,
,3,0.0940580502926861,0.136614535392213,0.136614535392213,0.322345114184313,0.206856194912598,0.325277368922156,,,3,0.228455620445725,0.244290960316749,0.211661889350045,0.244290960316749,0.254547085988977,0.254547085988977,,,3,0.231827146128637,0.193430015381578,0.262448775139919,0.262448775139919,0.25399486821574,0.256149136102061,
,4,0.0466629390682729,0.0755830480138486,0.0755830480138486,0.251042627345984,0.130963290676612,0.417664409169364,,,4,0.18800235843277,0.209604736045304,0.168415939404852,0.209604736045304,0.261375430858596,0.261375430858596,,,4,0.184123930379594,0.14944106150146,0.233355723939445,0.233355723939445,0.206226927201483,0.266480859068603,
"g=",2,2.9002734490985,3.60919641515206,3.60919641515206,3.1022651065473,3.76493816586188,2.39426673196494,"Z","t=",1,4.13016995956085,4.04796774533184,4.16937080782231,4.04796774533184,3.70682122323975,3.70682122323975,"Z","f=",1,3.89278535304155,3.89278535304155,3.70704604332436,3.70704604332436,3.83043051338889,3.52315581703701,"Z"
"G=",1.5,,,,,,,,"T=",1.5,,,,,,,,"F=",1.2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Like=Fashion+Trust+Fit",0,1,1,3,2,4,,,,,,,,,,,,,,,,,,,
"S_Like",0,0.228671997530038,0.14464818521357,0.12720022384747,0.0295582942365415,0.0500090033877989,0.0121792671106606,,,,,,,,,,,,,,,,,,,
,1,0.29826953349198,0.310592044024235,0.270799986283258,0.093611500495105,0.143639088275753,0.0453929069513787,,,,,,,,,,,,,,,,,,,
,2,0.280605461681957,0.311204213979558,0.307537452155566,0.235309782297643,0.307044166304341,0.140004323789401,,,,,,,,,,,,,,,,,,,
,3,0.145329525522641,0.170884191890834,0.211627362999834,0.402422350366596,0.326807392368451,0.338339733295182,,,,,,,,,,,,,,,,,,,
,4,0.0471234817733826,0.0626713648918033,0.0828349747138713,0.239098072604115,0.172500349663657,0.464083768853377,,,,,,,,,,,,,,,,,,,
,,0.0342774299827004,0.0377768971356448,0.0358601670010798,0.051355971087497,0.0409232137186119,0.0626847460767825,"Zlike",,,,,,,,,,,,,,,,,,
,"max",0.29826953349198,0.311204213979558,0.307537452155566,0.402422350366596,0.326807392368451,0.464083768853377,,,,,,,,,,,,,,,,,,,
,"S^_Like_max",1,2,2,3,3,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Advertising-Fash(t-1),t=0  -->",0,1,1,3,2,4,,,,,,,,,,,,,,,,,,,
"S_Fash(t)",0,0.999898970806092,0.0000215009944571647,0.0000229629394388925,7.85397431483222E-041,9.29743441249876E-019,1.4264069109813E-071,,,,,,,,,,,,,,,,,,,
,1,0.000101029193907773,0.999897744405326,0.999900274576738,9.47550367460713E-019,0.0000220936487056572,8.94308865305339E-041,,,,,,,,,,,,,,,,,,,
,2,4.24792504748575E-018,0.0000807546002171384,0.0000767624838229679,0.000022293219746604,0.999898826451624,1.0885099276298E-018,,,,,,,,,,,,,,,,,,,
,3,2.90195694336536E-040,4.24791983730082E-018,4.2479305863653E-018,0.999899173049177,0.0000790798996707958,0.0000250976063855054,,,,,,,,,,,,,,,,,,,
,4,3.64620285794769E-071,3.880609968607E-040,4.14446931152955E-040,0.0000785337310765572,4.24792443421681E-018,0.999974902393614,,,,,,,,,,,,,,,,,,,
"D=",1.2,0.449374364046984,0.562196204803323,0.59143382941057,0.578094649778291,0.574102015195791,1.00002509823629,"Z",,,,,,,,,,,,,,,,,,
"Adv","t=1",0.8,0.576006631972268,0.525305201346055,0.548118501808494,0.555049350298941,0.592712981579825,,"alpha_ij","j=1","j=2","j=3",,"A_ij","j=1","j=2","j=3",,,,,,,,,
,"t=2",0.8,0,0,0,0,0,,"i=1",10,0,0,,"i=1",2,0,0,,,,,,,,,
,"t=3",0.8,0,0,0,0,0,,"i=2",0,0,0,,"i=2",0,0,0,,,,,,,,,
,"t=4",0.8,0.569202625378966,0.532480869209394,0.59316220828332,0.524841560143977,0.576211011921987,,"i=3",0,0,0,,"i=3",0,0,0,,,,,,,,,
,"t=5",0.8,0.527889160718769,0.504248306620866,0.550024684518576,0.586981895146892,0.584233037475496,,,,,,,,,,,,,,,,,,,
,"t=6",0.8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
,"t=7",0.8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
,"t=8",0.8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
,"t=9",0.8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
,"t=10",0.8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
